"Province","variant","date.start","date.end","case.rate","death.rate","raw.cfr","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","idr.mean.perc","idr.median.perc","idr.iqr.upr.perc","idr.iqr.lwr.perc","idr.ci95.upr.perc","idr.ci95.lwr.perc","ifr.mean.perc","ifr.median.perc","ifr.iqr.upr.perc","ifr.iqr.lwr.perc","ifr.ci95.upr.perc","ifr.ci95.lwr.perc","idr","ifr"
"Gauteng","Ancestral wave",2020-03-15,2020-10-25,1.50723027599619,0.0311080932109437,2.06392438543493,32.8251120834881,31.1488736741786,23.8431520675145,40.4766813886697,15.4230235714729,57.5854747018113,4.59169879500388,4.83879543049301,6.32143884218122,3.72370022513284,9.7725991859601,2.61737926760337,0.0947691911358068,0.0998690788512563,0.130469717774134,0.076854356987012,0.201699057689846,0.0540207289633842,"4.59 (2.62, 9.77)","0.09 (0.05, 0.2)"
"Gauteng","Beta wave",2020-11-01,2021-05-09,1.3512219695225,0.0404846694954539,2.99615240194477,21.8739152426828,20.158693542687,16.4081894349385,25.5373065090402,12.164536629151,41.1324823329885,6.17732104440932,6.70292430737749,8.23504613278843,5.29116870271409,11.1078786699071,3.28504844075218,0.18508195284791,0.20082982763603,0.2467345325088,0.158531478177318,0.332808973573533,0.0984250577626455,"6.18 (3.29, 11.11)","0.19 (0.1, 0.33)"
"Gauteng","Delta wave",2021-05-16,2021-08-29,3.12573408938981,0.0527210027072146,1.68667587195514,49.8249629048029,46.9431657297597,36.670402234751,60.0405863446637,25.2192019116906,90.7937078572777,6.27342983749316,6.65854984596457,8.5238609311672,5.20603524996657,12.3942625160586,3.4426769906823,0.105812427413032,0.112308153673991,0.143769905685008,0.0878089404466657,0.209051035365141,0.0580668021511897,"6.27 (3.44, 12.39)","0.11 (0.06, 0.21)"
"Gauteng","Omicron (BA.1) wave",2021-09-05,2022-02-27,1.84882065889969,0.0113204202788395,0.612304942848094,44.4930729369896,43.9575579523783,31.2693275628392,56.3613531713368,19.0143521076549,75.2950588616269,4.15529999808725,4.20592213266856,5.91256929073475,3.28029856430049,9.72329032528739,2.4554342434307,0.025443107278455,0.0257530691106716,0.0362029540164874,0.0200854302493869,0.0595361872692052,0.0150347452409109,"4.16 (2.46, 9.72)","0.03 (0.02, 0.06)"
"KwaZulu-Natal","Ancestral wave",2020-03-15,2020-09-13,1.04134205373225,0.0224110260122033,2.15212916177546,24.0632884624336,21.3581550344068,15.1341560449108,30.6617752934194,9.44625375785279,51.9087618141308,4.3275134874352,4.8756180112688,6.88074082652548,3.39622231187554,11.023862797107,2.00610073779254,0.0931336797428592,0.104929597037293,0.148082429873845,0.0730910907725983,0.237247766010655,0.043173878992626,"4.33 (2.01, 11.02)","0.09 (0.04, 0.24)"
"KwaZulu-Natal","Beta wave",2020-09-20,2021-05-09,1.95192064264547,0.0701916877947426,3.59603183967616,26.3638110869094,24.2697905651461,19.4580919243796,31.1202028798617,14.2809500504879,50.1825454234722,7.40378785226038,8.04259368207581,10.0314082708174,6.27219767872589,13.6680027291237,3.88964056361415,0.266242568509359,0.289214229543229,0.360732635386502,0.225550225574412,0.491505729987093,0.139872713116524,"7.4 (3.89, 13.67)","0.27 (0.14, 0.49)"
"KwaZulu-Natal","Delta wave",2021-05-16,2021-09-26,1.54528896316318,0.0368940408461766,2.38751726865732,27.1489655140705,23.8977213336382,17.799812325455,33.6908865294565,12.5238074063081,57.3932501361615,5.69188893168804,6.46626070155085,8.68149020286752,4.58666756011929,12.3388112977914,2.6924576661839,0.135894831156846,0.154383090885928,0.207272077770255,0.109507480053751,0.29459125048181,0.0642828917314284,"5.69 (2.69, 12.34)","0.14 (0.06, 0.29)"
"KwaZulu-Natal","Omicron (BA.1) wave",2021-10-03,2022-02-27,1.24008506703945,0.012330493363236,0.994326412838232,38.1079895976043,36.6182996357634,26.4578890651001,48.4613510449252,15.8738704428765,67.5582261641539,3.25413405465349,3.38651734071321,4.68701438723324,2.55891559005413,7.81211533445485,1.83557967319372,0.0323567144145834,0.0336730363940584,0.0466042220257881,0.0254439735941435,0.0776779261718704,0.0182516535192549,"3.25 (1.84, 7.81)","0.03 (0.02, 0.08)"
"Western Cape","Ancestral wave",2020-03-15,2020-09-13,1.59767174653491,0.0600502142521513,3.75860776047335,28.43834663774,26.5570060599896,21.2005883397845,33.6113435046935,14.6134321664798,53.170757156005,5.61801910247016,6.01600851739814,7.53597834611393,4.75337067770532,10.9328987765081,3.00479404844149,0.211159301970318,0.226118163005664,0.283247866944629,0.178660559176297,0.410924781858529,0.112938422290963,"5.62 (3, 10.93)","0.21 (0.11, 0.41)"
"Western Cape","Beta wave",2020-09-20,2021-05-09,2.63304848200072,0.110968704925812,4.21445733659614,37.0896629970078,34.6737979354675,28.2560017013576,43.7314111069554,20.606604361097,66.042437182438,7.09914372156236,7.59377004763414,9.31854587860606,6.02095476764054,12.7776922187705,3.98690386717118,0.299190383408889,0.320036198896757,0.39272614044499,0.253750569937962,0.538510387161648,0.168026362533031,"7.1 (3.99, 12.78)","0.3 (0.17, 0.54)"
"Western Cape","Delta wave",2021-05-16,2021-09-26,3.22791087204015,0.118434802123586,3.66908526345807,47.2872296785521,44.1066099217443,35.1414033379024,56.1865639480078,24.6763463477162,87.1011885117504,6.82617885205533,7.31842886534975,9.18549222693856,5.74498713789848,13.0809919205843,3.70593206268901,0.250458322318053,0.268519395015209,0.337023541674689,0.210788476464195,0.479952746872299,0.13597380718589,"6.83 (3.71, 13.08)","0.25 (0.14, 0.48)"
"Western Cape","Omicron (BA.1) wave",2021-10-03,2022-02-27,1.87670967316596,0.0279357687713171,1.48855036933817,44.0978596988785,42.8959395476599,32.2197394027605,54.3943547481463,20.0231543887841,75.3978239549729,4.25578403573562,4.37502871590172,5.8247202117506,3.45019199484101,9.37269741183835,2.48907670636055,0.0633494889821774,0.065124506109206,0.0867038942249286,0.0513578456820818,0.139517321940869,0.0370511605056403,"4.26 (2.49, 9.37)","0.06 (0.04, 0.14)"
"Eastern Cape","Ancestral wave",2020-03-15,2020-08-09,1.24653694216388,0.0364555927080472,2.92454972451626,32.8529424831816,30.6319726392527,21.6349950735039,42.0015265366944,13.2714159732246,62.9497494322048,3.79429313767563,4.06939819659715,5.76166963721891,2.96783723104647,9.39264464830881,1.98020953761916,0.110965989505232,0.119011573748051,0.168502893502823,0.0867958755646606,0.274692563186906,0.0579122125772858,"3.79 (1.98, 9.39)","0.11 (0.06, 0.27)"
"Eastern Cape","Beta wave",2020-08-16,2021-04-25,1.67487153388806,0.135870455863257,8.11229118855739,27.4370205402551,25.5991234976681,20.5872229441384,32.478216510593,14.8603774036578,49.950018340155,6.10442205789334,6.54269094033875,8.13549033996802,5.15690734847398,11.2707200388854,3.35309493278328,0.495208492714835,0.530762140647643,0.659974665995164,0.418343340432323,0.914313628601474,0.272012824776143,"6.1 (3.35, 11.27)","0.5 (0.27, 0.91)"
"Eastern Cape","Delta wave",2021-05-02,2021-10-10,1.42787632689717,0.0520538785949803,3.64554531890696,25.5941967739555,22.5578685856245,17.2182417919231,31.0572440914805,12.3959263216863,54.3429397486719,5.57890657600228,6.32983706540037,8.2928114505104,4.59756288320783,11.5189158909338,2.62752867897998,0.203381567527644,0.230757078832141,0.302318199639862,0.167606238472587,0.419927299050766,0.0957877487594926,"5.58 (2.63, 11.52)","0.2 (0.1, 0.42)"
"Eastern Cape","Omicron (BA.1) wave",2021-10-17,2022-02-27,0.766709735982008,0.0214383317968451,2.79614706723225,26.3837054252002,23.3105005054753,16.1315288695577,35.0488215701345,9.5923569067237,54.6941264649975,2.90599718131211,3.28911743358715,4.75286466758206,2.18754783081018,7.99292336010337,1.40181365995977,0.0812559549591105,0.0919685606570718,0.132897086012114,0.0611670545155017,0.223493892119652,0.0391967715410263,"2.91 (1.4, 7.99)","0.08 (0.04, 0.22)"
"Limpopo","Ancestral wave",2020-03-15,2020-10-25,0.293903102739552,0.00765555485723226,2.60478871637377,13.7775350819921,10.6963833569394,7.3557535579232,17.6949215204175,4.54819200907441,37.2063950720876,2.13320525762041,2.74768669869035,3.99555396228543,1.66094606523362,6.46197658659014,0.78992630748051,0.0555654898475885,0.0715714330887891,0.104075738766236,0.0432641356922595,0.168320836982215,0.0205759113249203,"2.13 (0.79, 6.46)","0.06 (0.02, 0.17)"
"Limpopo","Beta wave",2020-11-01,2021-05-09,0.782788841744637,0.0313911179517078,4.01016420746941,17.1243495239329,14.4134875038399,10.9723636717419,20.4752095322963,7.8222423442382,41.4084747764404,4.57120336542194,5.43094682349497,7.13418608025746,3.82310540221782,10.0072179727496,1.89040732838102,0.183312761210788,0.217789885642492,0.28609257668475,0.153312804453568,0.401305873306652,0.0758084380581146,"4.57 (1.89, 10.01)","0.18 (0.08, 0.4)"
"Limpopo","Delta wave",2021-05-16,2021-09-26,0.96068855865626,0.0278809290433699,2.90218185614365,28.2216253284664,24.7764116338363,16.9724070715438,36.4542689380503,10.3277638380327,62.7441749180035,3.40408657359376,3.8774321836996,5.66029647183613,2.63532526269786,9.30199967507447,1.53111991656871,0.09879278290626,0.112530133319604,0.164272097209567,0.0764819316243873,0.269960946828552,0.0444358844144588,"3.4 (1.53, 9.3)","0.1 (0.04, 0.27)"
"Limpopo","Omicron (BA.1) wave",2021-10-03,2022-02-27,0.539744865782017,0.00892590893834504,1.65372743757601,18.6220553971472,15.3983027775127,11.0131126714593,23.6092951684914,7.15265261574165,45.0098851473087,2.89841724917596,3.50522309880961,4.90092930022205,2.28615408435552,7.54607968230051,1.19916961355386,0.0479319213050587,0.0579668361332667,0.0810480125339742,0.0378067573582519,0.124791590167552,0.0198309969224144,"2.9 (1.2, 7.55)","0.05 (0.02, 0.12)"
"Mpumalanga","Ancestral wave",2020-03-15,2020-10-25,0.649581561029636,0.0131745506008357,2.02815957090178,18.994377628273,15.7306387618203,11.2249612960444,24.2082494645801,7.13909165655784,45.8303227380239,3.41986230737425,4.12940358535363,5.78693809179141,2.68330662231509,9.09893852438415,1.4173619608633,0.0693602646986732,0.0837508940375108,0.117368338770828,0.0544217400771247,0.184540992532766,0.0287463622635702,"3.42 (1.42, 9.1)","0.07 (0.03, 0.18)"
"Mpumalanga","Beta wave",2020-11-01,2021-05-09,1.0883485363292,0.0176386545234329,1.62068068588807,17.3267843604682,15.0947568935062,11.7363484220228,20.5924057658038,8.69639215183816,38.2097304436695,6.2813071005392,7.21010973550303,9.27331480962989,5.28519371999041,12.514943177892,2.84835439478878,0.101799930999755,0.116852855914633,0.15029082206127,0.0856561138316538,0.202827266933962,0.0461627295419858,"6.28 (2.85, 12.51)","0.1 (0.05, 0.2)"
"Mpumalanga","Delta wave",2021-05-16,2021-09-26,1.55139588174436,0.0119986402992735,0.773409317406621,27.1843018960956,23.8190631116598,17.7100033103957,33.5760755478548,11.9746444704895,60.1449858920123,5.70695502012206,6.51325316395392,8.75999769482652,4.62053964446564,12.9556738454127,2.5794267946622,0.0441381218658289,0.0503741068363012,0.0677506383763936,0.035735684124764,0.100200388653234,0.0199495271656004,"5.71 (2.58, 12.96)","0.04 (0.02, 0.1)"
"Mpumalanga","Omicron (BA.1) wave",2021-10-03,2022-02-27,0.865506783175345,0.0592528135287173,6.84602532071816,27.6684327134952,24.7727123935229,18.0953361215745,35.1394113992186,11.9614092552402,56.1306540761213,3.12813809201848,3.49379094798534,4.78303789087084,2.46306568241092,7.23582618658561,1.54195028976786,0.214153125846615,0.239185812952035,0.327447985108561,0.168622100283771,0.495366492896806,0.105562307270394,"3.13 (1.54, 7.24)","0.21 (0.11, 0.5)"
"North West","Ancestral wave",2020-03-15,2020-10-25,0.827531064074931,0.0112237904627579,1.35629838564484,24.5689328342925,21.9189229387406,16.3516472925178,30.5962688036547,10.5080945977915,51.089956225916,3.36820109223422,3.77541846553195,5.06084218471122,2.70467967641886,7.87517714437834,1.61975293228996,0.0456828570392447,0.0512059396993472,0.0686401208512715,0.0366835267881331,0.106810900475875,0.0219686828720837,"3.37 (1.62, 7.88)","0.05 (0.02, 0.11)"
"North West","Beta wave",2020-11-01,2021-05-09,0.929265288689797,0.0334230574399825,3.59671859551613,16.0449559012918,14.2752056259361,11.3432347976273,18.8902108228889,8.33984741320198,33.4925484540397,5.79163504347793,6.50964555635856,8.19224238295917,4.91929548803036,11.1424735087931,2.77454338825541,0.208308814593199,0.234133632227738,0.294651905177646,0.176933215586374,0.400763416691219,0.0997925179860454,"5.79 (2.77, 11.14)","0.21 (0.1, 0.4)"
"North West","Delta wave",2021-05-16,2021-09-26,1.95855143575125,0.0582544522690929,2.97436417577402,37.2116599959215,34.5169808168409,26.2806476127342,45.5616759528774,18.1303330330376,70.0228085633411,5.26327348999188,5.67416787158762,7.45244738490478,4.29868172052516,10.8026225010998,2.79701925120525,0.156548921159329,0.168770416445781,0.221662925235015,0.127858449125847,0.321309333716816,0.0831935385973517,"5.26 (2.8, 10.8)","0.16 (0.08, 0.32)"
"North West","Omicron (BA.1) wave",2021-10-03,2022-02-27,0.975891356792609,0.0137814241301562,1.4121883582872,26.1722907367291,23.0797414765435,17.0211158888601,33.0858922815938,11.3259021619114,54.7077335976015,3.72871968529328,4.22834613543843,5.73341585337132,2.94956940706572,8.61645582702008,1.78382706176553,0.0526565453088749,0.0597122118727484,0.0809666312135025,0.0416534757861829,0.121680586086137,0.0251909980982295,"3.73 (1.78, 8.62)","0.05 (0.03, 0.12)"
"Free State","Ancestral wave",2020-03-15,2020-10-25,1.97131393800444,0.0521911088099769,2.64752903146466,39.305100084474,37.5105638868685,29.0242044952342,47.791024097401,18.5425637168921,69.5692047448546,5.0154151338318,5.25535671484414,6.79196543811609,4.12486230465952,10.6312911639537,2.83360136893076,0.132784571716669,0.139137094732526,0.179819256781169,0.109206927023803,0.281466519985213,0.0750204188784219,"5.02 (2.83, 10.63)","0.13 (0.08, 0.28)"
"Free State","Beta wave",2020-11-01,2021-05-30,1.62114519137029,0.101438458994308,6.2572099978637,24.2252191808457,22.6424272375127,18.4468054598691,28.2891612846351,13.5425812893425,43.9170856610407,6.69197326665298,7.15976769789267,8.78821644699986,5.73062302928998,11.9707252017462,3.69137698225823,0.418730820295377,0.448001700216356,0.549897158155578,0.358577117128613,0.749033414140452,0.230977209592701,"6.69 (3.69, 11.97)","0.42 (0.23, 0.75)"
"Free State","Delta wave",2021-06-06,2021-09-26,2.00594639242381,0.079550747801272,3.96574644774779,30.8470847103607,27.6643240862888,21.3521686700078,37.1747052661665,15.162413884152,63.3811437631333,6.5028718637715,7.2510226028548,9.39457918034081,5.39599810694252,13.2297298289717,3.16489459376181,0.257887409939109,0.287557171298104,0.372565190125219,0.213991603246611,0.524657540739075,0.125511694927071,"6.5 (3.16, 13.23)","0.26 (0.13, 0.52)"
"Free State","Omicron (BA.1) wave",2021-10-03,2022-02-27,1.3208136814204,0.0296107485285536,2.24185658772933,32.7917963373431,30.0310820048203,22.5285882837693,41.1711462140188,14.7560174978073,62.3215828547535,4.02787839931863,4.39815548839831,5.86283376829244,3.20810519715544,8.9510173162689,2.11935194986733,0.0902992572408516,0.0986003385552367,0.131436325062084,0.0719211177037163,0.200668971373568,0.0475128313052708,"4.03 (2.12, 8.95)","0.09 (0.05, 0.2)"
"Northern Cape","Ancestral wave",2020-03-15,2020-10-25,1.73371575511819,0.0210463851251113,1.21394669587441,34.9215667657467,32.7780280532127,25.12225015872,42.8129917973535,16.7695230570734,63.1332103048199,4.96459900195179,5.28926191747602,6.90111651689134,4.04950853078518,10.3384917341874,2.7461232317309,0.0602675855476075,0.0642088202833435,0.0837758759352455,0.0491588750086189,0.125503778810417,0.0333364722362368,"4.96 (2.75, 10.34)","0.06 (0.03, 0.13)"
"Northern Cape","Beta wave",2020-11-01,2021-05-09,1.75009395707645,0.0563346849965384,3.21895203218952,26.9809248682915,25.3660811941894,20.9708753081738,31.401743553894,15.3009858642469,47.08825349947,6.4864120322769,6.89934698102813,8.34535483787993,5.57323816772406,11.4377855950172,3.71662533012856,0.208794491929163,0.222086669853611,0.268632969147363,0.179399863258716,0.368176831848287,0.119636386593044,"6.49 (3.72, 11.44)","0.21 (0.12, 0.37)"
"Northern Cape","Delta wave",2021-05-16,2021-09-26,3.71682326179408,0.0960538027890416,2.58429836512262,55.5861738895559,52.604119212573,42.3857971254248,65.3832851642992,30.1809663312729,99.3197872217617,6.6865966871169,7.06565059434684,8.7690299908612,5.68466887592788,12.3151234489891,3.74227871984375,0.172801608867505,0.182597492794982,0.226617898690938,0.146908804823238,0.318259533955056,0.0967116477752537,"6.69 (3.74, 12.32)","0.17 (0.1, 0.32)"
"Northern Cape","Omicron (BA.1) wave",2021-10-03,2022-02-27,1.36755032373172,0.0807041835624567,5.90136846607839,36.8705198941448,34.0214831015653,25.2456330626321,46.4664627222311,16.6480905528689,69.3420965906723,3.70906167761658,4.019666984091,5.4169777416116,2.94309108895745,8.21445750423345,1.97217908163982,0.218885396230263,0.237215359840511,0.319675816257953,0.173682649451698,0.484765404814243,0.116385554418487,"3.71 (1.97, 8.21)","0.22 (0.12, 0.48)"
